"country","SFTGcode","COW","risk_in_2022","risk_in_2022_23","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr"
"Philippines","PHI",840,0.01116,0.01286,1,1,0,1,0,0,0,4.82028156560504,18.5176438089763,4.57165178026498,0.040323652926574,1,1,1,0.24,5.58724865840025,1,3,1,3,0,1,1,0.494,0,0,0,1,-0.708,-2.20617562832588,0
"Kenya","KEN",501,0.01103,0.02171,0,0,1,0,0,0,0,4.07753744390572,17.8170643126518,5.58569601750758,0.055275248144394,0,1,0,0.86,4.36944785246702,1,4,1,4,0,1,1,0.849,0,0,0,0,0.537,-3.00993000054112,0
"Rwanda","RWA",517,0.01077,0.02544,0,1,1,0,0,0,0,4.0943445622221,16.4101831636593,5.50454357780915,0.08302548842144,0,1,1,0.32,0,1,3,0,3,1,0,0,0.253,0,1,0,1,-0.006,-2.38819542018597,0
"Iran","IRN",630,0.01065,0.02378,0,1,0,0,0,1,0,6.25575004175337,18.2513714851535,3.33166624979154,0.00701705429473572,0,1,1,0.67,3.43398720448515,0,2,1,1,0,1,0,0.413,0,0,0,1,0.419,-2.55554405760379,0
"Colombia","COL",100,0.01044,0.01638,0,1,0,0,0,0,0,5.31320597904179,17.7473459345974,3.37638860322683,0.0803781233977588,1,1,1,0.6,4.91998092582813,1,4,1,4,0,1,0,0.408,0,0,0,1,-1.168,-2.70073152132979,0
"Uzbekistan","UZB",704,0.0104,0.01398,0,0,0,0,0,0,1,3.43398720448515,17.3655230465837,3.53553390593274,0.0544738092084335,1,1,1,0.41,0,1,1,1,2,0,0,0,0.576,0,0,0,1,-0.255,-2.19957008549443,0
"South Africa","SAF",560,0.0103,0.02175,0,1,1,0,0,0,0,4.71849887129509,17.9046520740054,5.07937003968012,0.0338248470388609,1,1,0,0.75,0,1,4,2,4,0,1,1,0.837,0,0,0,1,1.15,-2.34360319423165,0
"Sierra Leone","SIE",451,0.01029,0.01765,0,1,1,0,0,0,0,4.11087386417331,15.9327936652631,8.94986033410578,0.0184595275864461,1,1,0,0.82,0,0,4,1,4,0,1,1,0.85,0,0,0,0,0.44,-2.43627663715616,0
"Eritrea","ERI",531,0.01008,0.01954,0,0,1,0,0,0,0,3.36729582998647,15.6415526062679,5.44977063737549,0.05,0,1,1,0.65,0,1,0,1,1,1,0,0,0.142,0,0,1,1,0.678,-1.71484664710867,0
"Bangladesh","BNG",771,0.009926,0.02113,0,1,0,0,0,0,1,3.93182563272433,18.920754777762,4.9295030175465,0.0505060957092076,0,1,0,0.05,0,1,3,1,4,0,1,1,0.288,0,0,0,0,-2.481,-3.12142471845028,0
"Nepal","NEP",790,0.009473,0.0156,0,1,0,0,0,0,1,5.53733426701854,17.2041673254309,4.85798312059645,0.0283223539675156,1,1,0,0.66,0,1,4,1,3,0,1,0,0.82,0,0,0,0,0.857,-2.61608280032299,0
"Nicaragua","NIC",93,0.008978,0.01646,0,1,0,0,0,0,0,5.21493575760899,15.7447107367679,3.71483512420134,0.0785784947288392,1,1,1,0.48,0,1,3,0,3,0,0,0,0.078,0,0,1,1,-2.04,-1.63791655648991,0
"Algeria","ALG",615,0.008859,0.01686,0,1,0,0,0,1,0,4.0943445622221,17.6091547408127,4.41588043316392,0.025032815288152,1,1,0,0.34,0,1,3,1,2,0,1,0,0.583,0,0,0,1,1.109,-2.46457920653024,0
"Brazil","BRA",140,0.008284,0.0162,0,0,0,0,0,0,0,5.28320372873799,19.1725493489661,3.61939221417077,0.0313921335329515,0,1,0,0.54,0,1,4,1,3,0,1,1,0.728,0,0,0,1,0.166,-2.73957438426712,0
"Madagascar","MAG",580,0.008098,0.01363,0,0,1,0,0,0,0,4.12713438504509,17.1615847564782,6.02494813255683,0.0296030708259732,1,1,0,0.88,0,1,4,1,3,0,1,1,0.626,0,0,0,1,-0.494,-2.41364283200496,0
"North Korea","PRK",731,0.007952,0.01119,1,1,0,1,0,0,0,4.30406509320417,17.071880144124,4.71274866717927,-0.0165809033733562,0,1,1,0.04,0,1,0,1,0,1,0,0,0.018,0,1,1,1,-1.215,-2.84196588061864,0
"Liberia","LBR",450,0.007878,0.01544,0,1,1,0,0,0,0,5.16478597392351,15.4976594359405,7.6223356000638,0.0262872967846049,0,1,0,0.91,0,0,4,1,3,0,1,1,0.939,0,0,0,0,0.626,-1.47475389576789,0
"Malawi","MAW",553,0.007837,0.01458,0,1,1,0,0,0,0,4.06044301054642,16.7961019835231,5.3851648071345,0.0159971016952759,1,1,0,0.67,0,0,4,1,4,0,1,1,0.841,0,0,0,1,-0.17,-2.15348961661617,0
"Morocco","MOR",600,0.007506,0.0155,0,0,0,0,0,1,0,4.18965474202643,17.4323318153069,4,0.0540833086968168,0,1,0,0.48,0,1,4,2,1,0,1,0,0.641,0,0,0,0,-0.225,-1.89758290811358,0
"United States of America","USA",2,0.007378,0.01331,0,0,0,0,0,0,0,5.47646355193151,19.61100198048,2.32379000772445,0.0400595252094417,0,1,0,0.49,0,1,4,1,4,0,1,1,0.942,0,0,0,0,0.906,-3.30667952229474,0
"Zambia","ZAM",551,0.007264,0.01061,0,0,1,0,0,0,0,4.06044301054642,16.7588822280552,6.45755371638518,0.0227666021562413,1,1,0,0.78,0,1,4,1,4,0,1,1,0.725,0,0,0,0,1.072,-1.81360579937603,0
"Lebanon","LEB",660,0.00725,0.01618,0,0,0,0,0,1,0,4.36944785246702,15.7542672320695,2.44948974278318,-0.0933732987439676,0,1,0,0.13,0,1,4,0,4,0,0,0,0.741,0,0,0,1,-0.581,-1.85319921600855,0
